Date,Fund,Close
2015-06-14,AIR.NZ,2.6400
2015-06-15,AIR.NZ,2.6500
2015-06-16,AIR.NZ,2.6500
2015-06-17,AIR.NZ,2.3950
2015-06-18,AIR.NZ,2.4900
2015-06-21,AIR.NZ,2.5000
2015-06-22,AIR.NZ,2.5250
2015-06-23,AIR.NZ,2.5500
2015-06-24,AIR.NZ,2.5400
2015-06-25,AIR.NZ,2.5900
2015-06-28,AIR.NZ,2.5250
2015-06-29,AIR.NZ,2.5500
2015-06-30,AIR.NZ,2.5900
2015-07-01,AIR.NZ,2.5900
2015-07-02,AIR.NZ,2.5700
2015-07-05,AIR.NZ,2.5500
2015-07-06,AIR.NZ,2.5650
2015-07-07,AIR.NZ,2.5400
2015-07-08,AIR.NZ,2.5500
2015-07-09,AIR.NZ,2.5350
2015-07-12,AIR.NZ,2.5300
2015-07-13,AIR.NZ,2.5300
2015-07-14,AIR.NZ,2.6900
2015-07-15,AIR.NZ,2.6200
2015-07-16,AIR.NZ,2.6550
2015-07-19,AIR.NZ,2.6800
2015-07-20,AIR.NZ,2.7100
2015-07-21,AIR.NZ,2.7400
2015-07-22,AIR.NZ,2.6750
2015-07-23,AIR.NZ,2.6550
2015-07-26,AIR.NZ,2.6400
2015-07-27,AIR.NZ,2.6150
2015-07-28,AIR.NZ,2.6500
2015-07-29,AIR.NZ,2.6600
2015-07-30,AIR.NZ,2.6400
2015-08-02,AIR.NZ,2.6900
2015-08-03,AIR.NZ,2.6500
2015-08-04,AIR.NZ,2.6900
2015-08-05,AIR.NZ,2.6900
2015-08-06,AIR.NZ,2.6750
2015-08-09,AIR.NZ,2.6900
2015-08-10,AIR.NZ,2.6950
2015-08-11,AIR.NZ,2.7000
2015-08-12,AIR.NZ,2.6350
2015-08-13,AIR.NZ,2.6150
2015-08-16,AIR.NZ,2.6550
2015-08-17,AIR.NZ,2.6650
2015-08-18,AIR.NZ,2.6600
2015-08-19,AIR.NZ,2.6800
2015-08-20,AIR.NZ,2.6950
2015-08-23,AIR.NZ,2.6700
2015-08-24,AIR.NZ,2.6500
2015-08-25,AIR.NZ,2.5700
2015-08-26,AIR.NZ,2.5350
2015-08-27,AIR.NZ,2.4900
2015-08-30,AIR.NZ,2.4700
2015-08-31,AIR.NZ,2.4750
2015-09-01,AIR.NZ,2.4050
2015-09-02,AIR.NZ,2.4800
2015-09-03,AIR.NZ,2.5050
2015-09-06,AIR.NZ,2.5150
2015-09-07,AIR.NZ,2.5300
2015-09-08,AIR.NZ,2.4100
2015-09-09,AIR.NZ,2.3500
2015-09-10,AIR.NZ,2.4100
2015-09-13,AIR.NZ,2.4000
2015-09-14,AIR.NZ,2.4000
2015-09-15,AIR.NZ,2.4400
2015-09-16,AIR.NZ,2.4900
2015-09-17,AIR.NZ,2.5000
2015-09-20,AIR.NZ,2.4600
2015-09-21,AIR.NZ,2.4800
2015-09-22,AIR.NZ,2.4950
2015-09-23,AIR.NZ,2.4400
2015-09-24,AIR.NZ,2.4500
2015-09-27,AIR.NZ,2.4600
2015-09-28,AIR.NZ,2.4600
2015-09-29,AIR.NZ,2.4550
2015-09-30,AIR.NZ,2.4300
2015-10-01,AIR.NZ,2.4400
2015-10-04,AIR.NZ,2.4600
2015-10-05,AIR.NZ,2.4950
2015-10-06,AIR.NZ,2.5800
2015-10-07,AIR.NZ,2.6350
2015-10-08,AIR.NZ,2.6700
2015-10-11,AIR.NZ,2.6950
2015-10-12,AIR.NZ,2.7400
2015-10-13,AIR.NZ,2.7750
2015-10-14,AIR.NZ,2.8250
2015-10-15,AIR.NZ,2.8450
2015-10-18,AIR.NZ,2.8450
2015-10-19,AIR.NZ,2.8400
2015-10-20,AIR.NZ,2.9000
2015-10-21,AIR.NZ,2.9000
2015-10-22,AIR.NZ,2.9100
2015-10-26,AIR.NZ,2.9500
2015-10-27,AIR.NZ,2.9550
2015-10-28,AIR.NZ,2.9500
2015-10-29,AIR.NZ,2.9100
2015-11-01,AIR.NZ,2.8400
2015-11-02,AIR.NZ,2.8100
2015-11-03,AIR.NZ,2.8000
2015-11-04,AIR.NZ,2.8400
2015-11-05,AIR.NZ,2.8500
2015-11-08,AIR.NZ,2.8600
2015-11-09,AIR.NZ,2.7200
2015-11-10,AIR.NZ,2.6500
2015-11-11,AIR.NZ,2.7200
2015-11-12,AIR.NZ,2.8200
2015-11-15,AIR.NZ,2.7400
2015-11-16,AIR.NZ,2.8000
2015-11-17,AIR.NZ,2.8000
2015-11-18,AIR.NZ,2.8100
2015-11-19,AIR.NZ,2.7500
2015-11-22,AIR.NZ,2.7900
2015-11-23,AIR.NZ,2.7300
2015-11-24,AIR.NZ,2.7450
2015-11-25,AIR.NZ,2.7100
2015-11-26,AIR.NZ,2.7800
2015-11-29,AIR.NZ,2.7200
2015-11-30,AIR.NZ,2.8000
2015-12-01,AIR.NZ,2.7800
2015-12-02,AIR.NZ,2.7550
2015-12-03,AIR.NZ,2.7700
2015-12-06,AIR.NZ,2.7900
2015-12-07,AIR.NZ,2.8100
2015-12-08,AIR.NZ,2.8400
2015-12-09,AIR.NZ,2.8450
2015-12-10,AIR.NZ,2.8500
2015-12-13,AIR.NZ,2.8550
2015-12-14,AIR.NZ,2.8650
2015-12-15,AIR.NZ,2.8700
2015-12-16,AIR.NZ,2.8800
2015-12-17,AIR.NZ,2.9100
2015-12-20,AIR.NZ,2.9100
2015-12-21,AIR.NZ,2.9100
2015-12-22,AIR.NZ,2.9200
2015-12-23,AIR.NZ,2.9200
2015-12-27,AIR.NZ,2.9200
2015-12-28,AIR.NZ,2.9250
2015-12-29,AIR.NZ,2.9300
2015-12-30,AIR.NZ,2.9550
2016-01-04,AIR.NZ,2.9800
2016-01-05,AIR.NZ,2.9500
2016-01-06,AIR.NZ,2.9450
2016-01-07,AIR.NZ,2.9500
2016-01-10,AIR.NZ,2.9850
2016-01-11,AIR.NZ,2.9500
2016-01-12,AIR.NZ,3.0150
2016-01-13,AIR.NZ,3.0200
2016-01-14,AIR.NZ,3.0800
2016-01-17,AIR.NZ,3.0300
2016-01-18,AIR.NZ,3.0400
2016-01-19,AIR.NZ,3.0700
2016-01-20,AIR.NZ,3.1150
2016-01-21,AIR.NZ,3.1600
2016-01-24,AIR.NZ,3.1950
2016-01-25,AIR.NZ,3.2250
2016-01-26,AIR.NZ,3.0700
2016-01-27,AIR.NZ,3.0600
2016-01-28,AIR.NZ,2.9500
2016-01-31,AIR.NZ,2.9500
2016-02-01,AIR.NZ,2.9400
2016-02-02,AIR.NZ,2.8100
2016-02-03,AIR.NZ,2.7950
2016-02-04,AIR.NZ,2.9000
2016-02-08,AIR.NZ,2.8800
2016-02-09,AIR.NZ,2.8650
2016-02-10,AIR.NZ,2.8650
2016-02-11,AIR.NZ,2.6950
2016-02-14,AIR.NZ,2.7100
2016-02-15,AIR.NZ,2.7800
2016-02-16,AIR.NZ,2.8100
2016-02-17,AIR.NZ,2.7800
2016-02-18,AIR.NZ,2.7800
2016-02-21,AIR.NZ,2.7800
2016-02-22,AIR.NZ,2.7900
2016-02-23,AIR.NZ,2.8650
2016-02-24,AIR.NZ,2.8100
2016-02-25,AIR.NZ,2.7400
2016-02-28,AIR.NZ,2.7300
2016-02-29,AIR.NZ,2.7700
2016-03-01,AIR.NZ,2.8600
2016-03-02,AIR.NZ,2.9300
2016-03-03,AIR.NZ,2.8800
2016-03-06,AIR.NZ,2.9200
2016-03-07,AIR.NZ,2.9000
